"Date","Budget","Economy","Midscale","Upscale","Luxury"
"Aug '2017","0","0","196","231","339"
"Sep '2017","0","0","211","252","360"
"Oct '2017","0","0","208","253","399"
"Nov '2017","0","0","213","255","351"
"Dec '2018","0","0","219","248","365"
"Jan '2018","0","0","203","236","340"
"Feb '2018","0","0","217","260","346"
"Mar '2018","0","0","221","264","687"
"Apr '2018","0","0","219","271","509"
"May '2018","0","0","224","281","374"
"Jun '2018","0","0","232","267","346"
"Jul '2018","0","0","223","254","343"
"Aug '2018","0","0","197","232","306"
"Sep '2018","0","0","214","257","353"
"Oct '2018","0","0","213","259","389"
"Nov '2018","0","0","215","271","364"
"Dec '2019","0","0","220","275","368"
"Jan '2019","0","0","209","260","359"
"Feb '2019","0","0","205","254","357"
"Mar '2019","0","0","219","292","496"
"Apr '2019","0","0","224","292","524"
"May '2019","0","0","215","265","418"
"Jun '2019","0","0","211","250","371"
"Jul '2019","0","0","210","246","334"
"Aug '2019","0","0","215","248","327"
"Sep '2019","0","0","222","258","362"
"Oct '2019","0","0","221","263","365"
"Nov '2019","0","0","225","264","379"
"Dec '2020","0","0","231","265","387"
"Jan '2020","0","0","218","250","404"
"Feb '2020","0","0","221","262","413"
"Mar '2020","0","0","230","269","415"
"Apr '2020","0","0","208","261","413"
"May '2020","0","0","212","262","428"
"Jun '2020","0","0","211","265","422"
"Jul '2020","0","0","223","271","449"
"Aug '2020","0","0","224","275","488"
"Sep '2020","0","0","240","303","513"
"Oct '2020","0","0","243","319","546"
"Nov '2020","0","0","234","306","531"
"Dec '2021","0","0","236","297","525"
"Jan '2021","0","0","236","290","504"
"Feb '2021","0","0","240","321","530"
"Mar '2021","0","0","256","334","588"
"Apr '2021","0","0","263","343","595"
"May '2021","0","0","267","339","545"
"Jun '2021","0","0","265","327","481"
"Jul '2021","0","0","264","321","473"
"Aug '2021","0","0","251","312","443"
"Sep '2021","0","0","269","334","504"
"Oct '2021","0","0","288","355","587"
"Nov '2021","0","0","282","349","557"
"Dec '2022","0","0","278","341","503"
"Jan '2022","0","0","260","321","410"
"Feb '2022","0","0","279","340","472"
"Mar '2022","0","0","302","361","627"
"Apr '2022","0","0","310","374","612"
"May '2022","0","0","287","346","533"
"Jun '2022","0","0","267","333","457"
"Jul '2022","0","0","248","316","414"